
Address,READ,2024-05-21T23:34:29.925926
Restaurant,READ,2024-05-21T23:34:29.935859
Address,READ,2024-05-21T23:34:29.938186
Product,READ,2024-05-21T23:34:29.942988
Address,READ,2024-05-21T23:34:29.957553
Product,READ,2024-05-21T23:34:29.960304
Address,READ,2024-05-21T23:34:29.974625
Product,READ,2024-05-21T23:34:29.977318
Driver,READ,2024-05-21T23:34:29.983185
Customer,READ,2024-05-21T23:34:29.988464
Address,READ,2024-05-21T23:34:29.990586
Address,READ,2024-05-21T23:34:29.993438
Address,READ,2024-05-21T23:34:29.995129
Order,READ,2024-05-21T23:34:29.996892
Customer,READ,2024-05-21T23:34:29.998414
Address,READ,2024-05-21T23:34:30.000726
Restaurant,READ,2024-05-21T23:34:30.001976
Address,READ,2024-05-21T23:34:30.003866
Product,READ,2024-05-21T23:34:30.004948
Driver,READ,2024-05-21T23:34:30.007775
Product,READ,2024-05-21T23:34:30.012826
Product,READ,2024-05-21T23:34:30.014154
Customer,READ,2024-05-21T23:34:30.016809
Address,READ,2024-05-21T23:34:30.018154
Restaurant,READ,2024-05-21T23:34:30.019935
Address,READ,2024-05-21T23:34:30.021818
Product,READ,2024-05-21T23:34:30.023076
Driver,READ,2024-05-21T23:34:30.026269
Product,READ,2024-05-21T23:34:30.031602
Product,READ,2024-05-21T23:34:30.034521
Customer,READ,2024-05-21T23:34:30.037127
Address,READ,2024-05-21T23:34:30.039290
Restaurant,READ,2024-05-21T23:34:30.043127
Address,READ,2024-05-21T23:34:30.044830
Product,READ,2024-05-21T23:34:30.046302
Driver,READ,2024-05-21T23:34:30.049969
Product,READ,2024-05-21T23:34:30.052243
Product,READ,2024-05-21T23:34:30.053649
Address,READ,2024-05-21T23:34:52.156487
Restaurant,READ,2024-05-21T23:34:52.168179
Address,READ,2024-05-21T23:34:52.171059
Product,READ,2024-05-21T23:34:52.177973
Address,READ,2024-05-21T23:34:52.212315
Product,READ,2024-05-21T23:34:52.218014
Address,READ,2024-05-21T23:34:52.229729
Product,READ,2024-05-21T23:34:52.233325
Driver,READ,2024-05-21T23:34:52.239220
Customer,READ,2024-05-21T23:34:52.244194
Address,READ,2024-05-21T23:34:52.245500
Address,READ,2024-05-21T23:34:52.248267
Address,READ,2024-05-21T23:34:52.249230
Order,READ,2024-05-21T23:34:52.253618
Customer,READ,2024-05-21T23:34:52.255181
Address,READ,2024-05-21T23:34:52.256662
Restaurant,READ,2024-05-21T23:34:52.257375
Address,READ,2024-05-21T23:34:52.258522
Product,READ,2024-05-21T23:34:52.259790
Driver,READ,2024-05-21T23:34:52.263116
Product,READ,2024-05-21T23:34:52.267624
Product,READ,2024-05-21T23:34:52.268807
Customer,READ,2024-05-21T23:34:52.271251
Address,READ,2024-05-21T23:34:52.272314
Restaurant,READ,2024-05-21T23:34:52.273557
Address,READ,2024-05-21T23:34:52.274519
Product,READ,2024-05-21T23:34:52.275856
Driver,READ,2024-05-21T23:34:52.279382
Product,READ,2024-05-21T23:34:52.282674
Product,READ,2024-05-21T23:34:52.287132
Customer,READ,2024-05-21T23:34:52.289838
Address,READ,2024-05-21T23:34:52.291636
Restaurant,READ,2024-05-21T23:34:52.295443
Address,READ,2024-05-21T23:34:52.297391
Product,READ,2024-05-21T23:34:52.298897
Driver,READ,2024-05-21T23:34:52.302683
Product,READ,2024-05-21T23:34:52.305592
Product,READ,2024-05-21T23:34:52.307085
Table, Action, Timestamp
Address,READ,2024-05-21T23:36:35.075799
Restaurant,READ,2024-05-21T23:36:35.085740
Address,READ,2024-05-21T23:36:35.087553
Product,READ,2024-05-21T23:36:35.091449
Address,READ,2024-05-21T23:36:35.106094
Product,READ,2024-05-21T23:36:35.108397
Address,READ,2024-05-21T23:36:35.112897
Product,READ,2024-05-21T23:36:35.118142
Driver,READ,2024-05-21T23:36:35.131595
Customer,READ,2024-05-21T23:36:35.135806
Address,READ,2024-05-21T23:36:35.137380
Address,READ,2024-05-21T23:36:35.139686
Address,READ,2024-05-21T23:36:35.141125
Order,READ,2024-05-21T23:36:35.142236
Customer,READ,2024-05-21T23:36:35.143812
Address,READ,2024-05-21T23:36:35.145650
Restaurant,READ,2024-05-21T23:36:35.146652
Address,READ,2024-05-21T23:36:35.148110
Product,READ,2024-05-21T23:36:35.149038
Driver,READ,2024-05-21T23:36:35.152973
Product,READ,2024-05-21T23:36:35.158978
Product,READ,2024-05-21T23:36:35.160442
Customer,READ,2024-05-21T23:36:35.163442
Address,READ,2024-05-21T23:36:35.164769
Restaurant,READ,2024-05-21T23:36:35.166243
Address,READ,2024-05-21T23:36:35.167366
Product,READ,2024-05-21T23:36:35.168199
Driver,READ,2024-05-21T23:36:35.171274
Product,READ,2024-05-21T23:36:35.175646
Product,READ,2024-05-21T23:36:35.179420
Customer,READ,2024-05-21T23:36:35.182557
Address,READ,2024-05-21T23:36:35.184181
Restaurant,READ,2024-05-21T23:36:35.187965
Address,READ,2024-05-21T23:36:35.190113
Product,READ,2024-05-21T23:36:35.191447
Driver,READ,2024-05-21T23:36:35.194706
Product,READ,2024-05-21T23:36:35.198400
Product,READ,2024-05-21T23:36:35.200113
Table, Action, Timestamp
Address,READ,2024-05-21T23:36:54.910509
Restaurant,READ,2024-05-21T23:36:54.920825
Address,READ,2024-05-21T23:36:54.922879
Product,READ,2024-05-21T23:36:54.927493
Address,READ,2024-05-21T23:36:54.942390
Product,READ,2024-05-21T23:36:54.945486
Address,READ,2024-05-21T23:36:54.958545
Product,READ,2024-05-21T23:36:54.962094
Driver,READ,2024-05-21T23:36:54.968440
Customer,READ,2024-05-21T23:36:54.972670
Address,READ,2024-05-21T23:36:54.974271
Address,READ,2024-05-21T23:36:54.976678
Address,READ,2024-05-21T23:36:54.978118
Order,READ,2024-05-21T23:36:54.979655
Customer,READ,2024-05-21T23:36:54.981994
Address,READ,2024-05-21T23:36:54.983872
Restaurant,READ,2024-05-21T23:36:54.984714
Address,READ,2024-05-21T23:36:54.986203
Product,READ,2024-05-21T23:36:54.987423
Driver,READ,2024-05-21T23:36:54.990871
Product,READ,2024-05-21T23:36:54.996046
Product,READ,2024-05-21T23:36:54.997480
Customer,READ,2024-05-21T23:36:55.000057
Address,READ,2024-05-21T23:36:55.001493
Restaurant,READ,2024-05-21T23:36:55.002960
Address,READ,2024-05-21T23:36:55.003912
Product,READ,2024-05-21T23:36:55.004864
Driver,READ,2024-05-21T23:36:55.008087
Product,READ,2024-05-21T23:36:55.011336
Product,READ,2024-05-21T23:36:55.014919
Customer,READ,2024-05-21T23:36:55.018019
Address,READ,2024-05-21T23:36:55.019684
Restaurant,READ,2024-05-21T23:36:55.023555
Address,READ,2024-05-21T23:36:55.025579
Product,READ,2024-05-21T23:36:55.027061
Driver,READ,2024-05-21T23:36:55.031082
Product,READ,2024-05-21T23:36:55.033291
Product,READ,2024-05-21T23:36:55.034644
Restaurant,CREATE,2024-05-21T23:37:09.972801
Address,CREATE,2024-05-21T23:37:09.973150
Product,CREATE,2024-05-21T23:37:10.007365
RestaurantProducts,CREATE,2024-05-21T23:37:10.012018
Restaurant,DELETE,2024-05-21T23:37:14.623694
Restaurant,UPDATE,2024-05-21T23:37:26.113977
Address,CREATE,2024-05-21T23:37:26.114177
Product,CREATE,2024-05-21T23:37:26.135236
RestaurantProducts,CREATE,2024-05-21T23:37:26.140906
Table, Action, Timestamp
Address,READ,2024-05-21T23:41:18.971190
Restaurant,READ,2024-05-21T23:41:18.980004
Address,READ,2024-05-21T23:41:18.982544
Product,READ,2024-05-21T23:41:18.987713
Address,READ,2024-05-21T23:41:18.997747
Product,READ,2024-05-21T23:41:19.002849
Address,READ,2024-05-21T23:41:19.012539
Product,READ,2024-05-21T23:41:19.020467
Driver,READ,2024-05-21T23:41:19.025750
Customer,READ,2024-05-21T23:41:19.030068
Address,READ,2024-05-21T23:41:19.032267
Address,READ,2024-05-21T23:41:19.035719
Address,READ,2024-05-21T23:41:19.037013
Order,READ,2024-05-21T23:41:19.038041
Customer,READ,2024-05-21T23:41:19.039992
Address,READ,2024-05-21T23:41:19.041684
